FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240226;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;BANCO PICHINCHA;Banco;39783.57;75000;60;10.8;136183.57;20250108
20240226;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;BANCO PICHINCHA;Banco;85680;43000;168;10.3;153680;20250108
20240226;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;BANCO PICHINCHA;Banco;105680;20000;180;9.9;150680;20250108
20240214;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Credito;Banco;148344;41986;120;10.99;209930;20250108
20240215;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;BANCO PICHINCHA;Banco;101362;20000;180;10.3;146362;20250108
20240215;NMIV;LIMA;LIMA;CHORRILLOS;150108;Continental;Banco;214700;98000;240;9.3;320000;20250108
20240215;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;196749.8;52360;120;8.55;261800;20250108
20240226;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Continental;Banco;281330;32670;240;8.6;326700;20250108
20240226;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;249830;29170;300;9;291700;20250108
20240226;NMIV;LIMA;LIMA;CHORRILLOS;150108;Continental;Banco;255392;29788;300;9;297880;20250108
20240226;NMIV;LIMA;LIMA;SURQUILLO;150141;Continental;Banco;260694;48246;300;8.6;321640;20250108
20240226;NMIV;JUNIN;HUANCAYO;SAN PEDRO DE SANIO;120132;CMAC Huancayo;CMAC;35000;32300;72;14.03;93000;20250108
20240226;NMIV;PIURA;SULLANA;MARCAVELICA;200605;CMAC Huancayo;CMAC;50000;17000;60;14.98;92700;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Credito;Banco;120791;16199;180;9.7;161990;20250108
20240226;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Credito;Banco;160812;33588;300;9.7;214000;20250108
20240226;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;160760;20640;180;9.8;206400;20250108
20240226;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Credito;Banco;204900;54400;180;10.9;272000;20250108
20240226;NMIV;LIMA;LIMA;LA VICTORIA;150115;Credito;Banco;213783;58517;240;9;285000;20250108
20240226;NMIV;AREQUIPA;AREQUIPA;TIABAYA;40123;Credito;Banco;249875;28575;300;9;285750;20250108
20240226;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;186500;49800;180;9.15;249000;20250108
20240226;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;283850;32950;300;8.9;329500;20250108
20240226;NMIV;LIMA;LIMA;CHORRILLOS;150108;BANBIF;Banco;296810;34390;240;9.95;343900;20250108
20240226;NMIV;LIMA;LIMA;CHORRILLOS;150108;BANBIF;Banco;259382.53;33454.62;300;9.15;305537.15;20250108
20240226;NMIV;LIMA;LIMA;SAN MARTIN DE PORRES;150135;Financiera Efectiva S. A;Financiera;164522.4;33445.6;240;9.7;222968;20250108
20240226;NMIV;ICA;ICA;ICA;110101;EMPRESA DE CREDITO VIVELA S.A.;Edpyme;220500;24500;228;11.5;245000;20250108
20240226;NMIV;LIMA;LIMA;SURQUILLO;150141;Scotiabank;Banco;286600;50000;240;9.1;343900;20250108
20240228;FCTP;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;65087.5;20000;120;15;128400;20250108
20240226;NMIV;LIMA;LIMA;BRENIA;150105;Scotiabank;Banco;222200;25500;300;9.1;255000;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;140105;Crediscotia;Financiera;164975;33525;240;12;223500;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Crediscotia;Financiera;112690;24300;180;12;161990;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Crediscotia;Financiera;104590;32400;120;12;161990;20250108
20240226;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Credito;Banco;221200;110000;168;8.89;343900;20250108
20240227;NMIV;CALLAO;CALLAO;BELLAVISTA;70102;Interbank;Banco;234540.5;33000;180;9.66;280228.8;20250108
20240227;NMIV;PIURA;PIURA;PIURA;200101;Interbank;Banco;87184.35;27145;120;9.9;135725;20250108
20240227;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;Credito;Banco;175400;37000;240;9.4;232000;20250108
20240227;NMIV;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;150143;Credito;Banco;150400;30000;240;9.7;200000;20250108
20240227;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;122900;80000;240;9.99;227900;20250108
20240227;NMIV;CALLAO;CALLAO;CALLAO;70101;Credito;Banco;160400;20000;210;10.05;200000;20250108
20240227;NMIV;LIMA;LIMA;LURIGANCHO;150118;Credito;Banco;144400;41000;240;10.05;205000;20250108
20240227;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;103000;32000;144;9.32;160000;20250108
20240227;NMIV;PIURA;PIURA;CASTILLA;200104;Credito;Banco;197720;23380;240;9.15;233800;20250108
20240227;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;62869.75;263075.25;240;10.39;338645;20250108
20240227;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;228100;60200;192;9.5;301000;20250108
20240227;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;224148;105624;168;8.95;342472;20250108
20240227;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;212550;39750;300;9.05;265000;20250108
20240227;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;238798.11;84642.04;300;9.19;336140.15;20250108
20240227;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Credito;Banco;187645;35355;240;10.5;235700;20250108
20240227;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;295310;35890;240;9.3;343900;20250108
20240227;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;224402.72;59620.28;180;9.45;296723;20250108
20240227;NMIV;LIMA;LIMA;LA VICTORIA;150115;Interbank;Banco;195000;80300;240;8.6;288000;20250108
20240227;NMIV;LIMA;LIMA;COMAS;150110;Interbank;Banco;211460.55;24650;300;8.41;246500;20250108
20240227;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;Interbank;Banco;189409.25;23000;240;9.33;230000;20250108
20240227;NMIV;PIURA;PIURA;PIURA;200101;Interbank;Banco;195697.75;51512;240;9.9;257560;20250108
20240227;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Interbank;Banco;102425.1;39990;240;9.47;159960;20250108
20240227;NMIV;LIMA;LIMA;CHORRILLOS;150108;Scotiabank;Banco;159410;120990;240;9.6;293100;20250108
20240227;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Scotiabank;Banco;275300;32000;300;9;320000;20250108
20240227;NMIV;LIMA;LIMA;COMAS;150110;Scotiabank;Banco;284660;33040;240;8.95;330400;20250108
20240228;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Credito;Banco;202028;35272;132;9.19;250000;20250108
20240227;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Crediscotia;Financiera;105504;32626;120;12;163130;20250108
20240227;NMIV;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;140301;Crediscotia;Financiera;166675;33825;180;12;225500;20250108
20240227;NMIV;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;140105;Interbank;Banco;121494.05;16100;240;9.01;160990;20250108
20240227;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Interbank;Banco;292442.6;33528;300;8.55;335276;20250108
20240227;NMIV;LIMA;LIMA;EL AGUSTINO;150111;Interbank;Banco;257142.85;31570;240;9.6;301400;20250108
20240227;NMIV;LIMA;LIMA;LA VICTORIA;150115;Interbank;Banco;300305;34390;300;8.66;343900;20250108
20240227;NMIV;CALLAO;CALLAO;BELLAVISTA;70102;Interbank;Banco;259140.95;33260;240;8.8;305088;20250108
20240227;NMIV;CALLAO;CALLAO;CALLAO;70101;Interbank;Banco;224911.2;60000;240;9.15;297600;20250108
20240227;NMIV;CALLAO;CALLAO;CALLAO;70101;Interbank;Banco;181199.05;22910;300;9.07;229100;20250108
20240227;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;176038.8;50000;300;9.14;236450;20250108
20240227;NMIV;LIMA;LIMA;SURQUILLO;150141;Interbank;Banco;242934;75000;240;9.57;330634;20250108
20240227;NMIV;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;140105;Credito;Banco;184919;49406;120;9.55;247025;20250108
20240227;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;292470.2;33907.8;300;9.5;339078;20250108
20240227;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;Credito;Banco;210600;33700;144;9.3;257000;20250108
20240227;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;283166;32874;300;8.92;328740;20250108
20240227;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;296813;34387;240;8.9;343900;20250108
20240227;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;296810;34390;300;8.85;343900;20250108
20240227;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;249380;29120;240;8.8;291200;20250108
20240227;NMIV;LIMA;LIMA;BRENIA;150105;Credito;Banco;269700;43600;240;9.6;326000;20250108
20240227;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Credito;Banco;220036;58184;240;8.95;290920;20250108
