FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240415;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Interbank;Banco;236251.80;27760.00;300.00;9.08;277600.00;20250108
20240415;NMIV;CALLAO;CALLAO;BELLAVISTA;070102;Interbank;Banco;287446.12;37098.23;264.00;8.72;338130.00;20250108
20240415;NMIV;LIMA;LIMA;EL AGUSTINO;150111;Interbank;Banco;137113.85;20850.00;300.00;10.36;176700.00;20250108
20240415;NMIV;CALLAO;CALLAO;BELLAVISTA;070102;Interbank;Banco;222661.80;33655.30;120.00;8.80;269906.00;20250108
20240415;NMIV;CAJAMARCA;JAEN;JAEN;060801;Interbank;Banco;86600.00;30000.00;240.00;10.35;139000.00;20250108
20240415;NMIV;LIMA;LIMA;EL AGUSTINO;150111;Interbank;Banco;225798.25;26350.00;300.00;9.10;263500.00;20250108
20240415;NMIV;PIURA;PIURA;CASTILLA;200104;CMAC Trujillo;CMAC;110000.00;70482.00;236.00;11.54;200982.00;20250108
20240415;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;Credito;Banco;167810.00;21590.00;180.00;10.00;215900.00;20250108
20240415;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;218336.48;60000.00;240.00;9.50;291936.48;20250108
20240415;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;278887.00;48413.00;300.00;8.93;340900.00;20250108
20240415;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Credito;Banco;276800.00;31600.00;300.00;9.35;316000.00;20250108
20240415;NMIV;LIMA;LIMA;JESUS MARIA;150113;Credito;Banco;268559.00;31351.00;240.00;9.15;313510.00;20250108
20240415;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;304565.00;35352.00;300.00;8.10;353517.00;20250108
20240415;NMIV;PIURA;PIURA;CASTILLA;200104;Comercio;Banco;119150.00;59850.00;240.00;10.90;199500.00;20250108
20240415;NMIV;ANCASH;SANTA;CHIMBOTE;021801;BANBIF;Banco;45300.00;58300.00;96.00;11.00;126000.00;20250108
20240415;NMIV;LIMA;LIMA;SANTA ANITA;150137;EMPRESA DE CREDITO VIVELA S.A.;Edpyme;272238.43;22500.00;300.00;12.00;300000.00;20250108
20240415;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Crediscotia;Financiera;182415.50;44004.50;240.00;13.00;240020.00;20250108
20240415;NMIV;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;140301;Crediscotia;Financiera;96492.00;40998.00;120.00;12.00;163990.00;20250108
20240415;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Crediscotia;Financiera;103092.00;32398.00;120.00;12.00;161990.00;20250108
20240415;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;251400.00;56111.00;240.00;10.35;321111.00;20250108
20240415;NMIV;LIMA;LIMA;CHORRILLOS;150108;Interbank;Banco;228800.00;60600.00;240.00;10.11;303000.00;20250108
20240415;NMIV;LIMA;LIMA;COMAS;150110;BANCO PICHINCHA;Banco;98992.00;30998.00;240.00;9.77;154990.00;20250108
20240415;NMIV;ICA;ICA;SUBTANJALLA;110112;CMAC Arequipa;CMAC;183800.00;23200.00;240.00;8.55;232000.00;20250108
20240415;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;BANCO PICHINCHA;Banco;61400.00;84000.00;120.00;11.00;165000.00;20250108
20240415;NMIV;LIMA;LIMA;ATE;150103;Interbank;Banco;166708.30;20700.00;240.00;9.67;207000.00;20250108
20240415;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Comercio;Banco;235800.00;42900.00;300.00;10.65;286000.00;20250108
20240415;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;275093.75;57800.00;240.00;9.27;343000.00;20250108
20240416;NMIV;PIURA;SULLANA;SULLANA;200601;CMAC Huancayo;CMAC;55000.00;14000.00;120.00;14.30;95900.00;20250108
20240416;NMIV;LIMA;LIMA;VILLA EL SALVADOR;150142;CMAC Huancayo;CMAC;99500.00;21600.00;60.00;11.22;143500.00;20250108
20240416;NMIV;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;150143;CMAC Huancayo;CMAC;80000.00;30000.00;120.00;12.68;132400.00;20250108
20240416;NMIV;CAJAMARCA;JAEN;JAEN;060801;CMAC Huancayo;CMAC;94600.00;13000.00;144.00;11.22;130000.00;20250108
20240416;NMIV;ICA;ICA;SUBTANJALLA;110112;CMAC Huancayo;CMAC;70120.00;10280.00;120.00;12.68;102800.00;20250108
20240416;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;183500.00;65700.00;180.00;8.90;262800.00;20250108
20240416;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;209410.45;57000.00;180.00;8.89;280000.00;20250108
20240416;NMIV;LIMA;LIMA;LA VICTORIA;150115;Interbank;Banco;298904.90;34390.00;300.00;8.60;343900.00;20250108
20240416;NMIV;PIURA;PAITA;PAITA;200501;CMAC Huancayo;CMAC;48000.00;45000.00;72.00;14.98;115400.00;20250108
20240416;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Credito;Banco;110290.00;24200.00;180.00;10.00;160990.00;20250108
20240416;NMIV;CALLAO;CALLAO;CALLAO;070101;Credito;Banco;134500.00;15000.00;180.00;9.40;170000.00;20250108
20240416;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Credito;Banco;182480.00;23220.00;240.00;8.19;232200.00;20250108
20240416;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;245379.50;28775.50;240.00;8.75;287755.00;20250108
20240416;NMIV;LIMA;LIMA;JESUS MARIA;150113;Credito;Banco;238102.00;27968.00;240.00;9.00;279670.00;20250108
